GEOID,County,Donald J. Trump,Joe R. Biden,Jo Jorgensen,Don_Per,Joe_Per,Don_MOV,Joe_MOV,Total_Pres,David A. Purdue,Jon Ossoff,Pur_Per,Oss_Per,Pur_MOV,Oss_MOV,Total_Sen1,Kelly Loeffler,Raphael Warnock,Others,Loe_Per,War_Per,Loe_MOV,War_MOV,Total_Sen2
13261,Sumter,5732,6318,100,47.17,52.0,-4.829999999999998,4.829999999999998,12150,5743,6114,47.77,50.85,-3.0799999999999983,3.0799999999999983,12022,2553,4474,4951.0,21.31,37.35,-16.040000000000003,16.040000000000003,11978
13263,Talbot,1392,2114,16,39.52,60.02,-20.5,20.5,3522,1386,2013,40.17,58.34,-18.17,18.17,3450,677,1531,1244.0,19.61,44.35,-24.740000000000002,24.740000000000002,3452
13265,Taliaferro,360,561,7,38.79,60.45,-21.660000000000004,21.660000000000004,928,366,521,40.57,57.76,-17.189999999999998,17.189999999999998,902,178,343,363.0,20.13,38.8,-18.669999999999998,18.669999999999998,884
13267,Tattnall,6053,2061,69,73.97,25.18,48.79,-48.79,8183,5954,1978,73.58,24.44,49.14,-49.14,8091,3047,1200,3690.0,38.38,15.11,23.270000000000003,-23.270000000000003,7937
13269,Taylor,2418,1387,34,62.98,36.12,26.86,-26.86,3839,2399,1312,63.26,34.59,28.669999999999995,-28.669999999999995,3792,1173,962,1634.0,31.12,25.52,5.600000000000001,-5.600000000000001,3769
13271,Telfair,2825,1487,21,65.19,34.31,30.879999999999995,-30.879999999999995,4333,2751,1435,64.65,33.72,30.930000000000007,-30.930000000000007,4255,1187,1003,1999.0,28.33,23.94,4.389999999999997,-4.389999999999997,4189
13273,Terrell,2004,2376,36,45.38,53.8,-8.419999999999995,8.419999999999995,4416,2040,2277,46.62,52.04,-5.420000000000002,5.420000000000002,4375,1058,1508,1782.0,24.33,34.68,-10.350000000000001,10.350000000000001,4348
13275,Thomas,12954,8708,191,59.27,39.84,19.43,-19.43,21853,13020,8158,60.27,37.76,22.510000000000005,-22.510000000000005,21600,5725,3809,11719.0,26.93,17.92,9.009999999999998,-9.009999999999998,21253
13277,Tift,10784,5322,177,66.22,32.68,33.54,-33.54,16283,10814,4956,67.27,30.83,36.44,-36.44,16075,5603,3284,7100.0,35.04,20.54,14.5,-14.5,15987
13279,Toombs,7872,2939,103,72.12,26.92,45.2,-45.2,10914,7793,2832,72.17,26.22,45.95,-45.95,10798,3456,1760,5435.0,32.44,16.52,15.919999999999998,-15.919999999999998,10651
13281,Towns,6384,1550,45,80.01,19.42,60.59,-60.59,7979,6291,1451,79.75,18.39,61.36,-61.36,7888,2036,1017,4794.0,25.94,12.96,12.98,-12.98,7847
13283,Treutlen,2101,952,24,68.28,30.93,37.35,-37.35,3077,2078,893,68.73,29.54,39.190000000000005,-39.190000000000005,3023,965,551,1449.0,32.54,18.58,13.96,-13.96,2965
13285,Troup,18143,11578,328,60.37,38.53,21.839999999999996,-21.839999999999996,30049,18162,11111,60.92,37.27,23.65,-23.65,29809,9163,7472,12903.0,31.02,25.29,5.73,-5.73,29538
