UniqueID,County,Precinct,Donald J. Trump,Joe R. Biden,Jo Jorgensen,Don_Per,Joe_Per,Don_MOV,Joe_MOV,Total_Pres,David A. Purdue,Jon Ossoff,Pur_Per,Oss_Per,Pur_MOV,Oss_MOV,Total_Sen1,Kelly Loeffler,Raphael Warnock,Loe_Per,War_Per,Loe_MOV,War_MOV,Others,Total_Sen2
"Banks,Bushville",Banks,Bushville,468,42,3,91.22,8.18,83.04,-83.04,513,451,41,89.13,8.1,81.03,-81.03,506,169,26,33.33,5.12,28.21,-28.21,312,507
"Banks,Columbia",Banks,Columbia,258,20,0,92.8,7.19,85.61,-85.61,278,258,17,92.47,6.09,86.38,-86.38,279,64,10,23.1,3.61,19.49,-19.49,203,277
"Banks,Davids",Banks,Davids,1107,166,11,86.21,12.92,73.29,-73.29,1284,1089,153,85.47,12,73.47,-73.47,1274,408,95,32.12,7.48,24.64,-24.64,767,1270
"Banks,Golden Hill",Banks,Golden Hill,538,80,7,86.08,12.8,73.28,-73.28,625,538,79,86.35,12.68,73.67,-73.67,623,161,48,26.09,7.77,18.32,-18.32,408,617
"Banks,Grove River",Banks,Grove River,387,33,4,91.27,7.78,83.49,-83.49,424,381,34,90.07,8.03,82.04,-82.04,423,111,23,26.17,5.42,20.75,-20.75,290,424
"Banks,Hollingsworth",Banks,Hollingsworth,432,53,3,88.52,10.86,77.66,-77.66,488,418,50,86.72,10.37,76.35,-76.35,482,141,38,29.55,7.96,21.59,-21.59,298,477
"Banks,Homer",Banks,Homer,957,108,6,89.35,10.08,79.27,-79.27,1071,937,101,88.39,9.52,78.87,-78.87,1060,333,64,31.5,6.05,25.45,-25.45,660,1057
"Banks,Poplar Springs",Banks,Poplar Springs,1121,113,15,89.75,9.04,80.71,-80.71,1249,1100,107,88.99,8.65,80.34,-80.34,1236,358,77,29.05,6.25,22.8,-22.8,797,1232
"Banks,Washington",Banks,Washington,438,53,4,88.48,10.7,77.78,-77.78,495,432,54,87.44,10.93,76.51,-76.51,494,137,41,28.01,8.38,19.63,-19.63,311,489
"Banks,Wilmonts",Banks,Wilmonts,394,32,3,91.84,7.45,84.39,-84.39,429,383,27,91.19,6.42,84.77,-84.77,420,136,24,32.3,5.7,26.6,-26.6,261,421
"Barrow,01 Bethlehem Community Center",Barrow,01 Bethlehem Community Center,1728,560,40,74.22,24.05,50.17,-50.17,2328,1692,538,73.21,23.27,49.94,-49.94,2311,956,301,42.05,13.24,28.81,-28.81,1016,2273
"Barrow,02 Bethlehem Church - 211",Barrow,02 Bethlehem Church - 211,4033,966,72,79.53,19.04,60.49,-60.49,5071,3992,910,79.49,18.12,61.37,-61.37,5022,2158,571,43.47,11.5,31.97,-31.97,2235,4964
"Barrow,03 Hmong New Hope Alliance Church ",Barrow,03 Hmong New Hope Alliance Church ,3098,943,74,75.28,22.91,52.37,-52.37,4115,3014,888,74.14,21.84,52.3,-52.3,4065,1704,527,42.18,13.04,29.14,-29.14,1808,4039
"Barrow,04 Covenant Life Sanctuary ",Barrow,04 Covenant Life Sanctuary ,1904,624,54,73.74,24.16,49.58,-49.58,2582,1883,600,73.84,23.52,50.32,-50.32,2550,1014,314,40.43,12.51,27.92,-27.92,1180,2508
"Barrow,05 Fire Station 1 (Statham)",Barrow,05 Fire Station 1 (Statham),4198,1743,70,69.83,28.99,40.84,-40.84,6011,4145,1670,69.41,27.96,41.45,-41.45,5971,2298,1072,38.83,18.11,20.72,-20.72,2548,5918
"Barrow,08 First Baptist Church Winder",Barrow,08 First Baptist Church Winder,3784,1114,86,75.92,22.35,53.57,-53.57,4984,3691,1060,74.79,21.47,53.32,-53.32,4935,2044,654,41.68,13.33,28.35,-28.35,2206,4904
